Start
A.L.E: Arcade Learning Environment (version 0.11.1+2750686)
[Powered by Stella]
Using device: cuda:0 
Environment: ALE/Enduro-v5 | Action Space: 9 actions.
--- Starting Initial Experience Collection (Random Actions) ---
Collecting 50000 steps to fill replay buffer...
Collected 10000/50000 frames for initial buffer.
Collected 20000/50000 frames for initial buffer.
Collected 30000/50000 frames for initial buffer.
Collected 40000/50000 frames for initial buffer.
Collected 50000/50000 frames for initial buffer.
Initial experience collection finished. Replay Buffer size: 50000
--- Starting Main Training Loop ---
Episode 144/2000 | Total Frames: 169808 | Epsilon: 0.4803 | Reward: 0.00 | Avg 100-episode Reward: 0.40
Target network updated at step 170000
Episode 145/2000 | Total Frames: 170640 | Epsilon: 0.4790 | Reward: 0.00 | Avg 100-episode Reward: 0.39
Episode 146/2000 | Total Frames: 171472 | Epsilon: 0.4777 | Reward: 0.00 | Avg 100-episode Reward: 0.39
Episode 147/2000 | Total Frames: 172304 | Epsilon: 0.4765 | Reward: 0.00 | Avg 100-episode Reward: 0.39
Episode 148/2000 | Total Frames: 173136 | Epsilon: 0.4752 | Reward: 0.00 | Avg 100-episode Reward: 0.39
Episode 149/2000 | Total Frames: 173968 | Epsilon: 0.4740 | Reward: 0.00 | Avg 100-episode Reward: 0.37
Episode 150/2000 | Total Frames: 174800 | Epsilon: 0.4727 | Reward: 0.00 | Avg 100-episode Reward: 0.37
Model checkpoint saved after episode 150
Episode 151/2000 | Total Frames: 175632 | Epsilon: 0.4715 | Reward: 0.00 | Avg 100-episode Reward: 0.37
Episode 152/2000 | Total Frames: 176464 | Epsilon: 0.4703 | Reward: 0.00 | Avg 100-episode Reward: 0.37
Episode 153/2000 | Total Frames: 177296 | Epsilon: 0.4690 | Reward: 0.00 | Avg 100-episode Reward: 0.37
Episode 154/2000 | Total Frames: 178128 | Epsilon: 0.4678 | Reward: 0.00 | Avg 100-episode Reward: 0.37
Episode 155/2000 | Total Frames: 178960 | Epsilon: 0.4666 | Reward: 1.00 | Avg 100-episode Reward: 0.38
Episode 156/2000 | Total Frames: 179792 | Epsilon: 0.4654 | Reward: 0.00 | Avg 100-episode Reward: 0.38
Target network updated at step 180000
Episode 157/2000 | Total Frames: 180624 | Epsilon: 0.4642 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 158/2000 | Total Frames: 181456 | Epsilon: 0.4629 | Reward: 0.00 | Avg 100-episode Reward: 0.36
Episode 159/2000 | Total Frames: 182288 | Epsilon: 0.4617 | Reward: 3.00 | Avg 100-episode Reward: 0.39
Episode 160/2000 | Total Frames: 183120 | Epsilon: 0.4605 | Reward: 2.00 | Avg 100-episode Reward: 0.41
Episode 161/2000 | Total Frames: 183952 | Epsilon: 0.4593 | Reward: 3.00 | Avg 100-episode Reward: 0.44
Episode 162/2000 | Total Frames: 184784 | Epsilon: 0.4581 | Reward: 0.00 | Avg 100-episode Reward: 0.44
Episode 163/2000 | Total Frames: 185616 | Epsilon: 0.4570 | Reward: 3.00 | Avg 100-episode Reward: 0.47
Episode 164/2000 | Total Frames: 186448 | Epsilon: 0.4558 | Reward: 0.00 | Avg 100-episode Reward: 0.47
Episode 165/2000 | Total Frames: 187280 | Epsilon: 0.4546 | Reward: 2.00 | Avg 100-episode Reward: 0.49
Episode 166/2000 | Total Frames: 188112 | Epsilon: 0.4534 | Reward: 0.00 | Avg 100-episode Reward: 0.48
Episode 167/2000 | Total Frames: 188944 | Epsilon: 0.4522 | Reward: 2.00 | Avg 100-episode Reward: 0.50
Episode 168/2000 | Total Frames: 189776 | Epsilon: 0.4511 | Reward: 0.00 | Avg 100-episode Reward: 0.50
Target network updated at step 190000
