Using device: cuda:0 
Environment: ALE/Enduro-v5 | Action Space: 9 actions.
--- Starting Initial Experience Collection (Random Actions) ---
Collecting 50000 steps to fill replay buffer...
Collected 10000/50000 frames for initial buffer.
Collected 20000/50000 frames for initial buffer.
Collected 30000/50000 frames for initial buffer.
Collected 40000/50000 frames for initial buffer.
Collected 50000/50000 frames for initial buffer.
Initial experience collection finished. Replay Buffer size: 50000
--- Starting Main Training Loop ---
Episode 69/500 | Total Frames: 107408 | Epsilon: 0.5881 | Reward: 1.00 | Avg 100-episode Reward: 0.14
Episode 70/500 | Total Frames: 108240 | Epsilon: 0.5864 | Reward: 0.00 | Avg 100-episode Reward: 0.14
Episode 71/500 | Total Frames: 109072 | Epsilon: 0.5848 | Reward: 0.00 | Avg 100-episode Reward: 0.14
Episode 72/500 | Total Frames: 109904 | Epsilon: 0.5832 | Reward: 1.00 | Avg 100-episode Reward: 0.15
Target network updated at step 110000
Episode 73/500 | Total Frames: 110736 | Epsilon: 0.5816 | Reward: 0.00 | Avg 100-episode Reward: 0.15
Episode 74/500 | Total Frames: 111568 | Epsilon: 0.5800 | Reward: 4.00 | Avg 100-episode Reward: 0.20
Episode 75/500 | Total Frames: 112400 | Epsilon: 0.5784 | Reward: 3.00 | Avg 100-episode Reward: 0.24
Episode 76/500 | Total Frames: 113232 | Epsilon: 0.5768 | Reward: 0.00 | Avg 100-episode Reward: 0.24
Episode 77/500 | Total Frames: 114064 | Epsilon: 0.5752 | Reward: 0.00 | Avg 100-episode Reward: 0.23
Episode 78/500 | Total Frames: 114896 | Epsilon: 0.5737 | Reward: 0.00 | Avg 100-episode Reward: 0.23
Episode 79/500 | Total Frames: 115728 | Epsilon: 0.5721 | Reward: 0.00 | Avg 100-episode Reward: 0.23
Episode 80/500 | Total Frames: 116560 | Epsilon: 0.5705 | Reward: 0.00 | Avg 100-episode Reward: 0.23
Episode 81/500 | Total Frames: 117392 | Epsilon: 0.5690 | Reward: 0.00 | Avg 100-episode Reward: 0.22
Episode 82/500 | Total Frames: 118224 | Epsilon: 0.5674 | Reward: 0.00 | Avg 100-episode Reward: 0.22
Episode 83/500 | Total Frames: 119056 | Epsilon: 0.5658 | Reward: 0.00 | Avg 100-episode Reward: 0.22
Episode 84/500 | Total Frames: 119888 | Epsilon: 0.5643 | Reward: 0.00 | Avg 100-episode Reward: 0.21
Target network updated at step 120000
Episode 85/500 | Total Frames: 120720 | Epsilon: 0.5628 | Reward: 0.00 | Avg 100-episode Reward: 0.21
Episode 86/500 | Total Frames: 121552 | Epsilon: 0.5612 | Reward: 0.00 | Avg 100-episode Reward: 0.21
Episode 87/500 | Total Frames: 122384 | Epsilon: 0.5597 | Reward: 0.00 | Avg 100-episode Reward: 0.21
Episode 88/500 | Total Frames: 123216 | Epsilon: 0.5582 | Reward: 0.00 | Avg 100-episode Reward: 0.20
Episode 89/500 | Total Frames: 124048 | Epsilon: 0.5566 | Reward: 2.00 | Avg 100-episode Reward: 0.22
Episode 90/500 | Total Frames: 124880 | Epsilon: 0.5551 | Reward: 0.00 | Avg 100-episode Reward: 0.22
Episode 91/500 | Total Frames: 125712 | Epsilon: 0.5536 | Reward: 0.00 | Avg 100-episode Reward: 0.22
Episode 92/500 | Total Frames: 126544 | Epsilon: 0.5521 | Reward: 2.00 | Avg 100-episode Reward: 0.24
Episode 93/500 | Total Frames: 127376 | Epsilon: 0.5506 | Reward: 0.00 | Avg 100-episode Reward: 0.24
Episode 94/500 | Total Frames: 128208 | Epsilon: 0.5491 | Reward: 0.00 | Avg 100-episode Reward: 0.23
Episode 95/500 | Total Frames: 129040 | Epsilon: 0.5476 | Reward: 9.00 | Avg 100-episode Reward: 0.33
Episode 96/500 | Total Frames: 129872 | Epsilon: 0.5461 | Reward: 1.00 | Avg 100-episode Reward: 0.33
Target network updated at step 130000
Episode 97/500 | Total Frames: 130704 | Epsilon: 0.5446 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 98/500 | Total Frames: 131536 | Epsilon: 0.5432 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 99/500 | Total Frames: 132368 | Epsilon: 0.5417 | Reward: 0.00 | Avg 100-episode Reward: 0.32
Episode 100/500 | Total Frames: 133200 | Epsilon: 0.5402 | Reward: 0.00 | Avg 100-episode Reward: 0.32
Model checkpoint saved after episode 100
Episode 101/500 | Total Frames: 134032 | Epsilon: 0.5388 | Reward: 0.00 | Avg 100-episode Reward: 0.32
Episode 102/500 | Total Frames: 134864 | Epsilon: 0.5373 | Reward: 2.00 | Avg 100-episode Reward: 0.34
Episode 103/500 | Total Frames: 135696 | Epsilon: 0.5358 | Reward: 0.00 | Avg 100-episode Reward: 0.34
Episode 104/500 | Total Frames: 136528 | Epsilon: 0.5344 | Reward: 0.00 | Avg 100-episode Reward: 0.34
Episode 105/500 | Total Frames: 137360 | Epsilon: 0.5330 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 106/500 | Total Frames: 138192 | Epsilon: 0.5315 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 107/500 | Total Frames: 139024 | Epsilon: 0.5301 | Reward: 0.00 | Avg 100-episode Reward: 0.32
Episode 108/500 | Total Frames: 139856 | Epsilon: 0.5287 | Reward: 0.00 | Avg 100-episode Reward: 0.32
Target network updated at step 140000
Episode 109/500 | Total Frames: 140688 | Epsilon: 0.5272 | Reward: 1.00 | Avg 100-episode Reward: 0.33
Episode 110/500 | Total Frames: 141520 | Epsilon: 0.5258 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 111/500 | Total Frames: 142352 | Epsilon: 0.5244 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 112/500 | Total Frames: 143184 | Epsilon: 0.5230 | Reward: 1.00 | Avg 100-episode Reward: 0.34
Episode 113/500 | Total Frames: 144016 | Epsilon: 0.5216 | Reward: 0.00 | Avg 100-episode Reward: 0.34
Episode 114/500 | Total Frames: 144848 | Epsilon: 0.5202 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 115/500 | Total Frames: 145680 | Epsilon: 0.5188 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 116/500 | Total Frames: 146512 | Epsilon: 0.5174 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 117/500 | Total Frames: 147344 | Epsilon: 0.5160 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 118/500 | Total Frames: 148176 | Epsilon: 0.5146 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 119/500 | Total Frames: 149008 | Epsilon: 0.5132 | Reward: 0.00 | Avg 100-episode Reward: 0.32
Episode 120/500 | Total Frames: 149840 | Epsilon: 0.5119 | Reward: 1.00 | Avg 100-episode Reward: 0.33
Target network updated at step 150000
Episode 121/500 | Total Frames: 150672 | Epsilon: 0.5105 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 122/500 | Total Frames: 151504 | Epsilon: 0.5091 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 123/500 | Total Frames: 152336 | Epsilon: 0.5078 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 124/500 | Total Frames: 153168 | Epsilon: 0.5064 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 125/500 | Total Frames: 154000 | Epsilon: 0.5051 | Reward: 0.00 | Avg 100-episode Reward: 0.33
Episode 126/500 | Total Frames: 154832 | Epsilon: 0.5037 | Reward: 2.00 | Avg 100-episode Reward: 0.35
Episode 127/500 | Total Frames: 155664 | Epsilon: 0.5024 | Reward: 0.00 | Avg 100-episode Reward: 0.35
Episode 128/500 | Total Frames: 156496 | Epsilon: 0.5010 | Reward: 0.00 | Avg 100-episode Reward: 0.35
Episode 129/500 | Total Frames: 157328 | Epsilon: 0.4997 | Reward: 0.00 | Avg 100-episode Reward: 0.35
Episode 130/500 | Total Frames: 158160 | Epsilon: 0.4984 | Reward: 0.00 | Avg 100-episode Reward: 0.35
Episode 131/500 | Total Frames: 158992 | Epsilon: 0.4971 | Reward: 0.00 | Avg 100-episode Reward: 0.35
Episode 132/500 | Total Frames: 159824 | Epsilon: 0.4957 | Reward: 0.00 | Avg 100-episode Reward: 0.35
Target network updated at step 160000
Episode 133/500 | Total Frames: 160656 | Epsilon: 0.4944 | Reward: 0.00 | Avg 100-episode Reward: 0.35
Episode 134/500 | Total Frames: 161488 | Epsilon: 0.4931 | Reward: 0.00 | Avg 100-episode Reward: 0.35
Episode 135/500 | Total Frames: 162320 | Epsilon: 0.4918 | Reward: 3.00 | Avg 100-episode Reward: 0.38
Episode 136/500 | Total Frames: 163152 | Epsilon: 0.4905 | Reward: 3.00 | Avg 100-episode Reward: 0.41
Episode 137/500 | Total Frames: 163984 | Epsilon: 0.4892 | Reward: 0.00 | Avg 100-episode Reward: 0.41
Episode 138/500 | Total Frames: 164816 | Epsilon: 0.4879 | Reward: 2.00 | Avg 100-episode Reward: 0.43
Episode 139/500 | Total Frames: 165648 | Epsilon: 0.4866 | Reward: 0.00 | Avg 100-episode Reward: 0.43
Episode 140/500 | Total Frames: 166480 | Epsilon: 0.4853 | Reward: 0.00 | Avg 100-episode Reward: 0.43
Episode 141/500 | Total Frames: 167312 | Epsilon: 0.4841 | Reward: 0.00 | Avg 100-episode Reward: 0.43
Episode 142/500 | Total Frames: 168144 | Epsilon: 0.4828 | Reward: 0.00 | Avg 100-episode Reward: 0.43
Episode 143/500 | Total Frames: 168976 | Epsilon: 0.4815 | Reward: 1.00 | Avg 100-episode Reward: 0.44
Episode 144/500 | Total Frames: 169808 | Epsilon: 0.4803 | Reward: 0.00 | Avg 100-episode Reward: 0.44
Target network updated at step 170000
Episode 145/500 | Total Frames: 170640 | Epsilon: 0.4790 | Reward: 0.00 | Avg 100-episode Reward: 0.43
Episode 146/500 | Total Frames: 171472 | Epsilon: 0.4777 | Reward: 0.00 | Avg 100-episode Reward: 0.43
Episode 147/500 | Total Frames: 172304 | Epsilon: 0.4765 | Reward: 5.00 | Avg 100-episode Reward: 0.48
Episode 148/500 | Total Frames: 173136 | Epsilon: 0.4752 | Reward: 0.00 | Avg 100-episode Reward: 0.48
Episode 149/500 | Total Frames: 173968 | Epsilon: 0.4740 | Reward: 0.00 | Avg 100-episode Reward: 0.47
Episode 150/500 | Total Frames: 174800 | Epsilon: 0.4727 | Reward: 0.00 | Avg 100-episode Reward: 0.47
Model checkpoint saved after episode 150
Episode 151/500 | Total Frames: 175632 | Epsilon: 0.4715 | Reward: 0.00 | Avg 100-episode Reward: 0.47
Episode 152/500 | Total Frames: 176464 | Epsilon: 0.4703 | Reward: 1.00 | Avg 100-episode Reward: 0.48
Episode 153/500 | Total Frames: 177296 | Epsilon: 0.4690 | Reward: 2.00 | Avg 100-episode Reward: 0.50
Episode 154/500 | Total Frames: 178128 | Epsilon: 0.4678 | Reward: 0.00 | Avg 100-episode Reward: 0.49
Episode 155/500 | Total Frames: 178960 | Epsilon: 0.4666 | Reward: 0.00 | Avg 100-episode Reward: 0.49
Episode 156/500 | Total Frames: 179792 | Epsilon: 0.4654 | Reward: 2.00 | Avg 100-episode Reward: 0.51
Target network updated at step 180000
Episode 157/500 | Total Frames: 180624 | Epsilon: 0.4642 | Reward: 0.00 | Avg 100-episode Reward: 0.51
Episode 158/500 | Total Frames: 181456 | Epsilon: 0.4629 | Reward: 0.00 | Avg 100-episode Reward: 0.51
Episode 159/500 | Total Frames: 182288 | Epsilon: 0.4617 | Reward: 6.00 | Avg 100-episode Reward: 0.57
Episode 160/500 | Total Frames: 183120 | Epsilon: 0.4605 | Reward: 0.00 | Avg 100-episode Reward: 0.57
Episode 161/500 | Total Frames: 183952 | Epsilon: 0.4593 | Reward: 0.00 | Avg 100-episode Reward: 0.57
Episode 162/500 | Total Frames: 184784 | Epsilon: 0.4581 | Reward: 2.00 | Avg 100-episode Reward: 0.59
Episode 163/500 | Total Frames: 185616 | Epsilon: 0.4570 | Reward: 1.00 | Avg 100-episode Reward: 0.60
Episode 164/500 | Total Frames: 186448 | Epsilon: 0.4558 | Reward: 0.00 | Avg 100-episode Reward: 0.59
Episode 165/500 | Total Frames: 187280 | Epsilon: 0.4546 | Reward: 0.00 | Avg 100-episode Reward: 0.58
Episode 166/500 | Total Frames: 188112 | Epsilon: 0.4534 | Reward: 0.00 | Avg 100-episode Reward: 0.58
Episode 167/500 | Total Frames: 188944 | Epsilon: 0.4522 | Reward: 0.00 | Avg 100-episode Reward: 0.58
Episode 168/500 | Total Frames: 189776 | Epsilon: 0.4511 | Reward: 0.00 | Avg 100-episode Reward: 0.58
Target network updated at step 190000
Episode 169/500 | Total Frames: 190608 | Epsilon: 0.4499 | Reward: 0.00 | Avg 100-episode Reward: 0.57
Episode 170/500 | Total Frames: 191440 | Epsilon: 0.4487 | Reward: 0.00 | Avg 100-episode Reward: 0.57
Episode 171/500 | Total Frames: 192272 | Epsilon: 0.4476 | Reward: 3.00 | Avg 100-episode Reward: 0.60
Episode 172/500 | Total Frames: 193104 | Epsilon: 0.4464 | Reward: 1.00 | Avg 100-episode Reward: 0.60
Episode 173/500 | Total Frames: 193936 | Epsilon: 0.4453 | Reward: 7.00 | Avg 100-episode Reward: 0.67
Episode 174/500 | Total Frames: 194768 | Epsilon: 0.4441 | Reward: 11.00 | Avg 100-episode Reward: 0.74
Episode 175/500 | Total Frames: 195600 | Epsilon: 0.4430 | Reward: 0.00 | Avg 100-episode Reward: 0.71
Episode 176/500 | Total Frames: 196432 | Epsilon: 0.4418 | Reward: 0.00 | Avg 100-episode Reward: 0.71
Episode 177/500 | Total Frames: 197264 | Epsilon: 0.4407 | Reward: 0.00 | Avg 100-episode Reward: 0.71
Episode 178/500 | Total Frames: 198096 | Epsilon: 0.4396 | Reward: 1.00 | Avg 100-episode Reward: 0.72
Episode 179/500 | Total Frames: 198928 | Epsilon: 0.4384 | Reward: 0.00 | Avg 100-episode Reward: 0.72
Episode 180/500 | Total Frames: 199760 | Epsilon: 0.4373 | Reward: 6.00 | Avg 100-episode Reward: 0.78
Target network updated at step 200000
Episode 181/500 | Total Frames: 200592 | Epsilon: 0.4362 | Reward: 4.00 | Avg 100-episode Reward: 0.82
Episode 182/500 | Total Frames: 201424 | Epsilon: 0.4351 | Reward: 3.00 | Avg 100-episode Reward: 0.85
Episode 183/500 | Total Frames: 202256 | Epsilon: 0.4340 | Reward: 3.00 | Avg 100-episode Reward: 0.88
Episode 184/500 | Total Frames: 203088 | Epsilon: 0.4329 | Reward: 3.00 | Avg 100-episode Reward: 0.91
Episode 185/500 | Total Frames: 203920 | Epsilon: 0.4318 | Reward: 0.00 | Avg 100-episode Reward: 0.91
Episode 186/500 | Total Frames: 204752 | Epsilon: 0.4307 | Reward: 0.00 | Avg 100-episode Reward: 0.91
Episode 187/500 | Total Frames: 205584 | Epsilon: 0.4296 | Reward: 3.00 | Avg 100-episode Reward: 0.94
Episode 188/500 | Total Frames: 206416 | Epsilon: 0.4285 | Reward: 0.00 | Avg 100-episode Reward: 0.94
Episode 189/500 | Total Frames: 207248 | Epsilon: 0.4274 | Reward: 4.00 | Avg 100-episode Reward: 0.96
Episode 190/500 | Total Frames: 208080 | Epsilon: 0.4263 | Reward: 5.00 | Avg 100-episode Reward: 1.01
Episode 191/500 | Total Frames: 208912 | Epsilon: 0.4252 | Reward: 0.00 | Avg 100-episode Reward: 1.01
Episode 192/500 | Total Frames: 209744 | Epsilon: 0.4241 | Reward: 14.00 | Avg 100-episode Reward: 1.13
Target network updated at step 210000
Episode 193/500 | Total Frames: 210576 | Epsilon: 0.4230 | Reward: 0.00 | Avg 100-episode Reward: 1.13
Episode 194/500 | Total Frames: 211408 | Epsilon: 0.4220 | Reward: 0.00 | Avg 100-episode Reward: 1.13
Episode 195/500 | Total Frames: 212240 | Epsilon: 0.4209 | Reward: 0.00 | Avg 100-episode Reward: 1.04
Episode 196/500 | Total Frames: 213072 | Epsilon: 0.4198 | Reward: 16.00 | Avg 100-episode Reward: 1.19
Episode 197/500 | Total Frames: 213904 | Epsilon: 0.4188 | Reward: 1.00 | Avg 100-episode Reward: 1.20
Episode 198/500 | Total Frames: 214736 | Epsilon: 0.4177 | Reward: 0.00 | Avg 100-episode Reward: 1.20
Episode 199/500 | Total Frames: 215568 | Epsilon: 0.4167 | Reward: 0.00 | Avg 100-episode Reward: 1.20
Episode 200/500 | Total Frames: 216400 | Epsilon: 0.4156 | Reward: 1.00 | Avg 100-episode Reward: 1.21
Model checkpoint saved after episode 200
Episode 201/500 | Total Frames: 217232 | Epsilon: 0.4145 | Reward: 0.00 | Avg 100-episode Reward: 1.21
Episode 202/500 | Total Frames: 218064 | Epsilon: 0.4135 | Reward: 0.00 | Avg 100-episode Reward: 1.19
Episode 203/500 | Total Frames: 218896 | Epsilon: 0.4125 | Reward: 3.00 | Avg 100-episode Reward: 1.22
Episode 204/500 | Total Frames: 219728 | Epsilon: 0.4114 | Reward: 14.00 | Avg 100-episode Reward: 1.36
Target network updated at step 220000
Episode 205/500 | Total Frames: 220560 | Epsilon: 0.4104 | Reward: 0.00 | Avg 100-episode Reward: 1.36
Episode 206/500 | Total Frames: 221392 | Epsilon: 0.4094 | Reward: 0.00 | Avg 100-episode Reward: 1.36
Episode 207/500 | Total Frames: 222224 | Epsilon: 0.4083 | Reward: 0.00 | Avg 100-episode Reward: 1.36
Episode 208/500 | Total Frames: 223056 | Epsilon: 0.4073 | Reward: 0.00 | Avg 100-episode Reward: 1.36
Episode 209/500 | Total Frames: 223888 | Epsilon: 0.4063 | Reward: 4.00 | Avg 100-episode Reward: 1.39
Episode 210/500 | Total Frames: 224720 | Epsilon: 0.4053 | Reward: 2.00 | Avg 100-episode Reward: 1.41
Episode 211/500 | Total Frames: 225552 | Epsilon: 0.4043 | Reward: 1.00 | Avg 100-episode Reward: 1.42
Episode 212/500 | Total Frames: 226384 | Epsilon: 0.4032 | Reward: 0.00 | Avg 100-episode Reward: 1.41
Episode 213/500 | Total Frames: 227216 | Epsilon: 0.4022 | Reward: 0.00 | Avg 100-episode Reward: 1.41
Episode 214/500 | Total Frames: 228048 | Epsilon: 0.4012 | Reward: 0.00 | Avg 100-episode Reward: 1.41
Episode 215/500 | Total Frames: 228880 | Epsilon: 0.4002 | Reward: 2.00 | Avg 100-episode Reward: 1.43
Episode 216/500 | Total Frames: 229712 | Epsilon: 0.3992 | Reward: 1.00 | Avg 100-episode Reward: 1.44
Target network updated at step 230000
Episode 217/500 | Total Frames: 230544 | Epsilon: 0.3982 | Reward: 1.00 | Avg 100-episode Reward: 1.45
